# dve_sweep 20260724T203500Z rev=7138020 timeout=15s dve2hsc-flags='' hsc-flags=''
# model	status	states-or-detail	nodes	seconds
phils.5	run-ok	531440	113	0.07
phils.6	run-ok	14348906	143	0.11
phils.7	run-ok	71934773	436	0.39
phils.8	run-ok	43046720	153	0.13
pouring.1	run-ok	503	63	0.10
pouring.2	run-ok	51624	12	0.75
production_cell.1	run-ok	14586	1131	0.09
production_cell.2	run-ok	9003	406	0.07
production_cell.3	run-ok	822612	16388	2.35
production_cell.4	run-ok	340685	3967	1.03
production_cell.5	timeout	15s		15.02
production_cell.6	timeout	15s		15.03
protocols.1	run-ok	2430	37	0.03
protocols.2	run-ok	11286	306	0.04
protocols.3	run-ok	2817	187	0.03
protocols.4	run-ok	439245	1387	0.09
protocols.5	run-ok	996345	2081	0.19
public_subscribe.1	run-ok	580	505	0.05
public_subscribe.2	timeout	15s		15.01
public_subscribe.3	timeout	15s		15.01
public_subscribe.4	timeout	15s		15.01
public_subscribe.5	timeout	15s		15.02
reader_writer.1	run-ok	2666	65	0.04
reader_writer.2	run-ok	4104	82	0.03
reader_writer.3	run-ok	604498	143	0.06
resistance.1	timeout	15s		15.12
resistance.2	timeout	15s		15.11
rether.1	run-ok	2458	1229	0.09
rether.2	run-ok	9278	5295	0.38
rether.3	timeout	15s		15.02
rether.4	timeout	15s		15.01
rether.5	timeout	15s		15.01
rether.6	timeout	15s		15.01
rether.7	timeout	15s		15.01
rushhour.1	run-ok	1048	15642	0.20
rushhour.2	run-ok	2242	39631	0.51
rushhour.3	timeout	15s		15.02
rushhour.4	timeout	15s		15.02
sokoban.1	run-ok	91453	8081	1.50
sokoban.2	run-ok	761633	16959	2.79
sokoban.3	timeout	15s		15.02
sorter.1	run-ok	20544	1394	0.19
sorter.2	run-ok	7592	667	0.13
sorter.3	timeout	15s		15.03
sorter.4	timeout	15s		15.02
sorter.5	run-ok	296148	3357	4.68
synapse.1	run-ok	46756	3117	0.37
synapse.2	run-ok	61048	2639	0.31
synapse.3	run-ok	390317	6096	0.94
synapse.4	run-ok	2292286	8482	1.35
synapse.5	run-ok	83263	8614	1.86
synapse.6	run-ok	625175	12352	6.39
synapse.7	timeout	15s		15.02
szymanski.1	run-ok	20264	855	0.15
szymanski.2	run-ok	31875	967	0.17
szymanski.3	run-ok	1128424	16435	7.19
szymanski.4	timeout	15s		15.02
szymanski.5	timeout	15s		15.02
telephony.1	run-ok	1280	134	0.04
telephony.2	run-ok	51826	756	0.15
telephony.3	run-ok	765379	2965	1.30
telephony.4	timeout	15s		15.02
telephony.5	timeout	15s		15.03
telephony.6	timeout	15s		15.03
telephony.7	timeout	15s		15.02
telephony.8	timeout	15s		15.03
